storm: 191/1912
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_list653 : TList to _list661 : TList in method public read(prot TProtocol, struct LSWorkerHeartbeat) : void in class backtype.storm.generated.LSWorkerHeartbeat.LSWorkerHeartbeatTupleScheme
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_elem540 : long to _elem548 : long in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;850;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;850;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i336 : int to _i344 : int in method public read(prot TProtocol, struct TopologyInfo) : void in class backtype.storm.generated.TopologyInfo.TopologyInfoTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java;2069;0
d;storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java;2069;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.multilang.ISerializer moved to org.apache.storm.multilang.ISerializer
s;storm-core/src/jvm/backtype/storm/multilang/ISerializer.java;29;53
d;storm-core/src/jvm/org/apache/storm/multilang/ISerializer.java;29;53
--------------------
444ec05e5a9f38f9a9472c54b39f1371c839683b;Move Attribute;Move Attribute	private threadDes : ThreadLocal<TDeserializer> from class storm.trident.util.TridentUtils to class backtype.storm.utils.Utils
s;storm-core/src/jvm/storm/trident/util/TridentUtils.java;112;0
d;storm-core/src/jvm/backtype/storm/utils/Utils.java;85;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i587 : int to _i595 : int in method public read(iprot TProtocol, struct StormBase) : void in class backtype.storm.generated.StormBase.StormBaseStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/StormBase.java;1150;0
d;storm-core/src/jvm/backtype/storm/generated/StormBase.java;1150;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.starter.bolt.RollingCountBolt moved to org.apache.storm.starter.bolt.RollingCountBolt
s;examples/storm-starter/src/jvm/storm/starter/bolt/RollingCountBolt.java;37;105
d;examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/RollingCountBolt.java;37;105
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_iter615 : Map.Entry<String,ThriftSerializedObject> to _iter623 : Map.Entry<String,ThriftSerializedObject> in method public write(prot TProtocol, struct LocalStateData) : void in class backtype.storm.generated.LocalStateData.LocalStateDataTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/LocalStateData.java;442;0
d;storm-core/src/jvm/backtype/storm/generated/LocalStateData.java;442;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.messaging.netty.StormServerHandler moved to org.apache.storm.messaging.netty.StormServerHandler
s;storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java;31;43
d;storm-core/src/jvm/org/apache/storm/messaging/netty/StormServerHandler.java;31;43
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.utils.StormBoundedExponentialBackoffRetry moved to org.apache.storm.utils.StormBoundedExponentialBackoffRetry
s;storm-core/src/jvm/backtype/storm/utils/StormBoundedExponentialBackoffRetry.java;26;50
d;storm-core/src/jvm/org/apache/storm/utils/StormBoundedExponentialBackoffRetry.java;26;50
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.nimbus.ITopologyActionNotifierPlugin moved to org.apache.storm.nimbus.ITopologyActionNotifierPlugin
s;storm-core/src/jvm/backtype/storm/nimbus/ITopologyActionNotifierPlugin.java;22;21
d;storm-core/src/jvm/org/apache/storm/nimbus/ITopologyActionNotifierPlugin.java;22;21
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_i377 : int to _i493 : int in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;705;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;705;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.metric.internal.LatencyStatAndMetricTest moved to org.apache.storm.metric.internal.LatencyStatAndMetricTest
s;storm-core/test/jvm/backtype/storm/metric/internal/LatencyStatAndMetricTest.java;27;56
d;storm-core/test/jvm/org/apache/storm/metric/internal/LatencyStatAndMetricTest.java;27;56
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.trident.util.TridentUtils moved to org.apache.storm.trident.util.TridentUtils
s;storm-core/src/jvm/storm/trident/util/TridentUtils.java;37;80
d;storm-core/src/jvm/org/apache/storm/trident/util/TridentUtils.java;37;80
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_elem673 : LSTopoHistory to _elem681 : LSTopoHistory in method public read(iprot TProtocol, struct LSTopoHistoryList) : void in class backtype.storm.generated.LSTopoHistoryList.LSTopoHistoryListStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/LSTopoHistoryList.java;376;0
d;storm-core/src/jvm/backtype/storm/generated/LSTopoHistoryList.java;376;0
--------------------
306ec57d9cebaaa8f5b9caa0c6fcfb256702bc77;Rename Variable;Rename Variable	_i384 : int to _i394 : int in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;736;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;736;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.security.auth.IHttpCredentialsPlugin moved to org.apache.storm.security.auth.IHttpCredentialsPlugin
s;storm-core/src/jvm/backtype/storm/security/auth/IHttpCredentialsPlugin.java;24;24
d;storm-core/src/jvm/org/apache/storm/security/auth/IHttpCredentialsPlugin.java;24;24
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.generated.SupervisorInfo moved to org.apache.storm.generated.SupervisorInfo
s;storm-core/src/jvm/backtype/storm/generated/SupervisorInfo.java;53;1392
d;storm-core/src/jvm/org/apache/storm/generated/SupervisorInfo.java;53;1392
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.topology.base.BaseRichSpout moved to org.apache.storm.topology.base.BaseRichSpout
s;storm-core/src/jvm/backtype/storm/topology/base/BaseRichSpout.java;26;20
d;storm-core/src/jvm/org/apache/storm/topology/base/BaseRichSpout.java;26;20
--------------------
6cb8e5def2d037987d64463acedff9d3aadb55b1;Rename Variable;Rename Variable	_iter44 : TopologySummary to _iter72 : TopologySummary in method public write(oprot TProtocol) : void in class backtype.storm.generated.ClusterSummary
s;jstorm-client/src/main/java/backtype/storm/generated/ClusterSummary.java;523;0
d;jstorm-client/src/main/java/backtype/storm/generated/ClusterSummary.java;1055;0
--------------------
f0f7b6c1a536df814fa879f09303389de1edde67;Rename Parameter;Rename Parameter	stormId : String to topologyId : String in method public remove_task_heartbeat(topologyId String, taskId int) : void in class com.alibaba.jstorm.cluster.StormZkClusterState
s;jstorm-server/src/main/java/com/alibaba/jstorm/cluster/StormZkClusterState.java;224;0
d;jstorm-server/src/main/java/com/alibaba/jstorm/cluster/StormZkClusterState.java;223;0
--------------------
444ec05e5a9f38f9a9472c54b39f1371c839683b;Extract Interface;Extract Interface	backtype.storm.messaging.netty.INettySerializable from classes [backtype.storm.messaging.netty.SaslMessageToken]
s;storm-core/src/jvm/backtype/storm/messaging/netty/SaslMessageToken.java;27;89
d;storm-core/src/jvm/backtype/storm/messaging/netty/INettySerializable.java;23;3
d;storm-core/src/jvm/backtype/storm/messaging/netty/SaslMessageToken.java;27;89
--------------------
8fd1f4b193b5d81b3036726268da39380e2b3b61;Pull Up Attribute;Pull Up Attribute	protected expireIntervalSec : int from class org.apache.storm.redis.trident.state.RedisStateUpdater to class org.apache.storm.redis.trident.state.AbstractRedisStateUpdater
s;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/RedisStateUpdater.java;36;0
d;external/storm-redis/src/main/java/org/apache/storm/redis/trident/state/AbstractRedisStateUpdater.java;34;0
--------------------
306ec57d9cebaaa8f5b9caa0c6fcfb256702bc77;Rename Variable;Rename Variable	_elem340 : long to _elem350 : long in method public read(iprot TProtocol, struct SupervisorInfo) : void in class backtype.storm.generated.SupervisorInfo.SupervisorInfoStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/SupervisorInfo.java;1013;0
d;storm-core/src/jvm/backtype/storm/generated/SupervisorInfo.java;1013;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.topology.IBasicOutputCollector moved to org.apache.storm.topology.IBasicOutputCollector
s;storm-core/src/jvm/backtype/storm/topology/IBasicOutputCollector.java;24;3
d;storm-core/src/jvm/org/apache/storm/topology/IBasicOutputCollector.java;24;3
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.trident.operation.builtin.Negate moved to org.apache.storm.trident.operation.builtin.Negate
s;storm-core/src/jvm/storm/trident/operation/builtin/Negate.java;25;23
d;storm-core/src/jvm/org/apache/storm/trident/operation/builtin/Negate.java;25;23
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i397 : int to _i405 : int in method public read(iprot TProtocol, struct TopologyPageInfo) : void in class backtype.storm.generated.TopologyPageInfo.TopologyPageInfoStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java;2048;0
d;storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java;2048;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i613 : int to _i621 : int in method public read(iprot TProtocol, struct LocalStateData) : void in class backtype.storm.generated.LocalStateData.LocalStateDataStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/LocalStateData.java;383;0
d;storm-core/src/jvm/backtype/storm/generated/LocalStateData.java;383;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.testing.MkTupleParam moved to org.apache.storm.testing.MkTupleParam
s;storm-core/src/jvm/backtype/storm/testing/MkTupleParam.java;23;28
d;storm-core/src/jvm/org/apache/storm/testing/MkTupleParam.java;23;28
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.generated.TopologyPageInfo moved to org.apache.storm.generated.TopologyPageInfo
s;storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java;53;2543
d;storm-core/src/jvm/org/apache/storm/generated/TopologyPageInfo.java;53;2543
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.utils.IndifferentAccessMap moved to org.apache.storm.utils.IndifferentAccessMap
s;storm-core/src/jvm/backtype/storm/utils/IndifferentAccessMap.java;34;143
d;storm-core/src/jvm/org/apache/storm/utils/IndifferentAccessMap.java;34;143
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_list566 : TList to _list574 : TList in method public read(prot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;1098;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;1098;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.metric.api.MeanReducer moved to org.apache.storm.metric.api.MeanReducer
s;storm-core/src/jvm/backtype/storm/metric/api/MeanReducer.java;25;28
d;storm-core/src/jvm/org/apache/storm/metric/api/MeanReducer.java;25;28
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.scheduler.WorkerSlot moved to org.apache.storm.scheduler.WorkerSlot
s;storm-core/src/jvm/backtype/storm/scheduler/WorkerSlot.java;20;57
d;storm-core/src/jvm/org/apache/storm/scheduler/WorkerSlot.java;20;57
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_key543 : NodeInfo to _key551 : NodeInfo in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;873;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;873;0
--------------------
306ec57d9cebaaa8f5b9caa0c6fcfb256702bc77;Rename Variable;Rename Variable	_iter303 : ExecutorSummary to _iter308 : ExecutorSummary in method public write(prot TProtocol, struct TopologyInfo) : void in class backtype.storm.generated.TopologyInfo.TopologyInfoTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java;1277;0
d;storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java;1317;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i251 : int to _i271 : int in method public read(prot TProtocol, struct SpoutStats) : void in class backtype.storm.generated.SpoutStats.SpoutStatsTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/SpoutStats.java;854;0
d;storm-core/src/jvm/backtype/storm/generated/SpoutStats.java;894;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.nimbus.ITopologyActionNotifierPlugin moved to org.apache.storm.nimbus.ITopologyActionNotifierPlugin
s;storm-core/src/jvm/backtype/storm/nimbus/ITopologyActionNotifierPlugin.java;22;21
d;storm-core/src/jvm/org/apache/storm/nimbus/ITopologyActionNotifierPlugin.java;22;21
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.multilang.BoltMsg moved to org.apache.storm.multilang.BoltMsg
s;storm-core/src/jvm/backtype/storm/multilang/BoltMsg.java;22;57
d;storm-core/src/jvm/org/apache/storm/multilang/BoltMsg.java;22;57
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_map535 : TMap to _map543 : TMap in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;841;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;841;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.generated.KillOptions moved to org.apache.storm.generated.KillOptions
s;storm-core/src/jvm/backtype/storm/generated/KillOptions.java;53;353
d;storm-core/src/jvm/org/apache/storm/generated/KillOptions.java;53;353
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.generated.HBNodes moved to org.apache.storm.generated.HBNodes
s;storm-core/src/jvm/backtype/storm/generated/HBNodes.java;53;407
d;storm-core/src/jvm/org/apache/storm/generated/HBNodes.java;53;407
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_val472 : String to _val480 : String in method public read(iprot TProtocol, struct Credentials) : void in class backtype.storm.generated.Credentials.CredentialsStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Credentials.java;371;0
d;storm-core/src/jvm/backtype/storm/generated/Credentials.java;371;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.trident.operation.TridentCollector moved to org.apache.storm.trident.operation.TridentCollector
s;storm-core/src/jvm/storm/trident/operation/TridentCollector.java;23;3
d;storm-core/src/jvm/org/apache/storm/trident/operation/TridentCollector.java;23;3
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_elem88 : TopologySummary to _elem96 : TopologySummary in method public read(iprot TProtocol, struct ClusterSummary) : void in class backtype.storm.generated.ClusterSummary.ClusterSummaryStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java;696;0
d;storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java;696;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.testing.MockedSources moved to org.apache.storm.testing.MockedSources
s;storm-core/src/jvm/backtype/storm/testing/MockedSources.java;28;32
d;storm-core/src/jvm/org/apache/storm/testing/MockedSources.java;28;32
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_i405 : int to _i521 : int in method public read(prot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;936;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;936;0
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_elem368 : long to _elem484 : long in method public read(prot TProtocol, struct NodeInfo) : void in class backtype.storm.generated.NodeInfo.NodeInfoTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/NodeInfo.java;544;0
d;storm-core/src/jvm/backtype/storm/generated/NodeInfo.java;544;0
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_list385 : TList to _list501 : TList in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;739;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;739;0
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_map381 : TMap to _map497 : TMap in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;732;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;732;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.testing.TrackedTopology moved to org.apache.storm.testing.TrackedTopology
s;storm-core/src/jvm/backtype/storm/testing/TrackedTopology.java;26;8
d;storm-core/src/jvm/org/apache/storm/testing/TrackedTopology.java;26;8
--------------------
06d4bb6ef10a11e19e1d718a76d7062ef5f69834;Rename Method;Rename Method	private expireEvents(fullScan boolean) : List<Event<T>> renamed to private scanEvents(fullScan boolean) : List<Event<T>> in class backtype.storm.windowing.WindowManager
s;storm-core/src/jvm/backtype/storm/windowing/WindowManager.java;169;34
d;storm-core/src/jvm/backtype/storm/windowing/WindowManager.java;180;38
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.spout.ShellSpout moved to org.apache.storm.spout.ShellSpout
s;storm-core/src/jvm/backtype/storm/spout/ShellSpout.java;43;237
d;storm-core/src/jvm/org/apache/storm/spout/ShellSpout.java;43;237
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_iter519 : long to _iter527 : long in method public write(oprot TProtocol, struct NodeInfo) : void in class backtype.storm.generated.NodeInfo.NodeInfoStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/NodeInfo.java;501;0
d;storm-core/src/jvm/backtype/storm/generated/NodeInfo.java;501;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.serialization.IKryoDecorator moved to org.apache.storm.serialization.IKryoDecorator
s;storm-core/src/jvm/backtype/storm/serialization/IKryoDecorator.java;21;2
d;storm-core/src/jvm/org/apache/storm/serialization/IKryoDecorator.java;21;2
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.topology.TopologyBuilderTest moved to org.apache.storm.topology.TopologyBuilderTest
s;storm-core/test/jvm/backtype/storm/topology/TopologyBuilderTest.java;24;-25
d;storm-core/test/jvm/org/apache/storm/topology/TopologyBuilderTest.java;24;29
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.kafka.trident.TridentKafkaState moved to org.apache.storm.kafka.trident.TridentKafkaState
s;external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaState.java;39;63
d;external/storm-kafka/src/jvm/org/apache/storm/kafka/trident/TridentKafkaState.java;39;63
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.messaging.TransportFactory moved to org.apache.storm.messaging.TransportFactory
s;storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java;26;31
d;storm-core/src/jvm/org/apache/storm/messaging/TransportFactory.java;26;31
--------------------
f0f7b6c1a536df814fa879f09303389de1edde67;Rename Parameter;Rename Parameter	storm_id : String to topologyId : String in method public supervisor_stormdist_root(conf Map, topologyId String) : String in class com.alibaba.jstorm.cluster.StormConfig
s;jstorm-server/src/main/java/com/alibaba/jstorm/cluster/StormConfig.java;164;0
d;jstorm-server/src/main/java/com/alibaba/jstorm/cluster/StormConfig.java;164;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	backtype.storm.hooks.BaseTaskHook moved to org.apache.storm.hooks.BaseTaskHook
s;storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java;29;32
d;storm-core/src/jvm/org/apache/storm/hooks/BaseTaskHook.java;29;32
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_elem386 : long to _elem502 : long in method public read(iprot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;741;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;741;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_key395 : String to _key403 : String in method public read(iprot TProtocol, struct TopologyPageInfo) : void in class backtype.storm.generated.TopologyPageInfo.TopologyPageInfoStandardScheme
s;storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java;2046;0
d;storm-core/src/jvm/backtype/storm/generated/TopologyPageInfo.java;2046;0
--------------------
a16b50c961a1272315dcc3340ae369c516e25235;Rename Variable;Rename Variable	_val462 : int to _val578 : int in method public read(prot TProtocol, struct LSApprovedWorkers) : void in class backtype.storm.generated.LSApprovedWorkers.LSApprovedWorkersTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/LSApprovedWorkers.java;445;0
d;storm-core/src/jvm/backtype/storm/generated/LSApprovedWorkers.java;445;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i568 : int to _i576 : int in method public read(prot TProtocol, struct Assignment) : void in class backtype.storm.generated.Assignment.AssignmentTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/Assignment.java;1101;0
d;storm-core/src/jvm/backtype/storm/generated/Assignment.java;1101;0
--------------------
b03ce6b28e0f16d11b769f75a069de0328637794;Rename Variable;Rename Variable	_i595 : int to _i603 : int in method public read(prot TProtocol, struct StormBase) : void in class backtype.storm.generated.StormBase.StormBaseTupleScheme
s;storm-core/src/jvm/backtype/storm/generated/StormBase.java;1336;0
d;storm-core/src/jvm/backtype/storm/generated/StormBase.java;1336;0
--------------------
d839d1bf88b855edda344fc548f0701e2a018655;Move Class;Move Class	storm.kafka.KafkaErrorTest moved to org.apache.storm.kafka.KafkaErrorTest
s;external/storm-kafka/src/test/storm/kafka/KafkaErrorTest.java;26;30
d;external/storm-kafka/src/test/org/apache/storm/kafka/KafkaErrorTest.java;26;30
--------------------
